Top_libro,Titulo,Autor,Precio_mxn
1,NUEVAS RUTAS: JOVENES...,VARIOS AUTORES,245.0
2,LEGISLACION CIVIL Y FAMILIAR...,SIN AUTOR,480.0
3,LEY FEDERAL DEL TRABAJO 2026...,SIN AUTOR,180.0
4,PRONTUARIO FISCAL DC 2026...,SUSANA MIRELES...,460.0
5,LEGISLACION PENAL DEL ESTADO...,SIN AUTOR,480.0
6,CONSTITUCION POLITICA DE LOS...,MIGUEL CARBONELL,45.0
7,ENTRE LAS PATAS DE LOS...,LUIS RIVERO DEL VAL,140.0
8,EL PRINCIPITO,ANTOINE DE SAINT...,40.83
9,LEY DE AMPARO 2026 (BOLSILLO),SIN AUTOR,160.0
10,INVESTIGACION DOCUMENTAL:...,LAURA CAZARES...,315.0
11,JUGUEMOS A LEER (LIBRO Y...,ROSARIO AHUMADA,349.0
12,EL PRINCIPITO,ANTOINE DE...,80.0
13,LEGISLACION MERCANTIL 2026...,SIN AUTOR,400.0
14,REBELION EN LA GRANJA,GEORGE ORWELL,80.0
15,LEGISLACION DE MOVILIDAD DEL...,SIN AUTOR,150.0
16,AGENDA CIVIL DEL ESTADO DE...,SIN AUTOR,495.0
17,LEGISLACION FEDERAL LABORAL...,SIN AUTOR,480.0
18,200 CALENDARIO DEL MAS...,MARIANO GALVAN...,75.0
19,DIARIO (INFANTIL),ANA FRANK,39.0
20,LEGISLACION FISCAL 2026...,SIN AUTOR,450.0
21,FRANKENSTEIN (INFANTIL),MARY SHELLEY,39.0
22,CODIGO NACIONAL DE...,GUILLERMO ALCANTAR...,180.0
23,LEY AGRARIA 2026 (BOLSILLO),SIN AUTOR,140.0
24,LEGISLACION ADMINISTRATIVA...,SIN AUTOR,340.0
25,GUIA DE ESTUDIO PARA INGRESAR...,CONAMAT (COLEGIO...,670.0
26,CODIGO CIVIL DEL ESTADO DE...,SIN AUTOR,180.0
27,LEGISLACION PENAL DEL ESTADO...,SIN AUTOR,340.0
28,TERAPIA SEXUAL: LO BASICO,CATE CAMPBELL,279.0
29,FISCO AGENDA 2026,SIN AUTOR,495.0
30,EJERCICIOS Y PROBLEMAS...,VARIOS AUTORES,75.0
31,CODIGO DE COMERCIO 2026 - LEY...,SIN AUTOR,180.0
32,CODIGO PENAL FEDERAL 2026...,SIN AUTOR,140.0
33,MEXICO BARBARO,JOHN KENNETH TURNER,98.0
34,NANDA DIAGNOSTICOS ENFERMEROS...,HEATHER HERDMAN,735.0
35,LA ESTRUCTURA DE LAS...,THOMAS SAMUEL KUHN,130.0
36,EL DIARIO DE ANA FRANK,ANA FRANK,90.0
37,CALCULO DE VARIAS VARIABLES,RON LARSON,380.0
38,EL HOMBRE EN BUSCA DE SENTIDO...,VIKTOR FRANKL,285.0
39,PRINCIPIOS DE ECONOMIA,GREGORY MANKIW,895.0
40,CALCULO INTEGRAL,RON LARSON,380.0
41,MATLAB FOR BEGINNERS: A...,PETER I. KATTAN,768.0
42,LA ODISEA (L.B.),HOMERO,45.0
43,COMETIERRA,DOLORES REYES,249.0
44,CODIGO PENAL DEL ESTADO DE...,SIN AUTOR,140.0
45,LEGISLACION DE AMPARO 2026 Y...,SIN AUTOR,400.0
46,INVENTARIOS DE ORIENTACION...,BELARMINO RIMADA...,165.0
47,PRINCESAS (INFANTIL),SELECCION,39.0
48,LAS AVENTURAS DE SHERLOCK...,ARTHUR CONAN DOYLE,39.0
49,EL ESCLAVO (BOLSILLO),ANAND DILVAR,95.0
50,LAS MALAS,CAMILA SOSA VILLADA,248.0
51,FISCO AGENDA 2026 (ROSA),SIN AUTOR,495.0
52,MECANICA VECTORIAL PARA...,FERDINAND PIERRE...,846.0
53,PRECALCULO: INTRODUCCION A...,RON LARSON,390.0
54,JAIME EL INGENUO,DANIEL BLANCO,202.0
55,EL NIÑO CON EL PIJAMA DE...,JOHN BOYNE,199.0
56,CODIGO FINANCIERO DEL ESTADO...,SIN AUTOR,250.0
57,EL MUNDO ES ANCHO Y AJENO,CIRO ALEGRIA,210.0
58,EJERCICIOS Y PROBLEMAS...,TOMAS GARCIA CEREZO,75.0
59,REBELION EN LA GRANJA,GEORGE ORWELL,64.0
60,TABLA PERIODICA DE LOS...,SALVADOR MOSQUEIRA...,39.0
61,UN MEXICANO MAS (ROJO),JUAN SANCHEZ ANDRAKA,100.0
62,EL JINETE SIN CABEZA Y OTROS...,WASHINGTON IRVING,39.0
63,DINOSAURIOS COLOREA,DOMINIQUE GUERRERO...,39.0
64,SISTEMA MEXICANO DE ALIMENTOS...,ANA BERTHA PEREZ...,440.0
65,TRASTORNOS PSICOLOGICOS Y...,JUAN CARLOS ARANGO...,535.0
66,OTRO DE ADIVINANZAS,SIN AUTOR,50.0
67,MEDITACIONES (EDICION INTEGRA),MARCO AURELIO,100.0
68,DICCIONARIO OXFORD ESCOLAR...,OXFORD UNIVERSITY...,405.0
69,LOREA: LA CENICIENTA,SIN AUTOR,30.0
70,LIBERATE CON EL PODER DEL...,MARIE CHAUVETT,36.0
71,COMO LIBERARSE DEL MIEDO,SERGIO ULLOA ARREOLA,36.0
